"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-34760","Behind the Scenes- Meet the Merrifields - Ford Transit","58892","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34761","Behind the Scenes- Meet the Merrifields - Ford Transit- Editorial Assets","58893","VIDEO-34760","Behind the Scenes- Meet the Merrifields - Ford Transit","58892","Editorial Assets"
"VIDEO-34762","Behind the Scenes- Meet the Merrifields - Ford Transit- Social Assets","58894","VIDEO-34760","Behind the Scenes- Meet the Merrifields - Ford Transit","58892","Editorial Assets"
"VIDEO-34756","8 Essential Tips for Keeping Your Large Family Organized- Ford Transit","58888","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34758","8 Essential Tips for Keeping Your Large Family Organized- Editorial Assets","58890","VIDEO-34756","8 Essential Tips for Keeping Your Large Family Organized- Ford Transit","58888","Editorial Assets"
"VIDEO-34759","8 Essential Tips for Keeping Your Large Family Organized- Social Assets","58891","VIDEO-34756","8 Essential Tips for Keeping Your Large Family Organized- Ford Transit","58888","Editorial Assets"
"VIDEO-34748","Surprising Uses For WD-40","58869","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34749","Surprising Uses For WD-40 - Editorial Assets","58870","VIDEO-34748","Surprising Uses For WD-40","58869","Editorial Assets"
"VIDEO-34745","Best Night: Austin - TEASER","58411","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34746","Best Night: Austin - TEASER - editorial assets","58412","VIDEO-34745","Best Night: Austin - TEASER","58411","Editorial Assets"
"VIDEO-34742","Best Night: Austin - FULL EPISODE","58408","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34743","Best Night: Austin - FULL EPISODE - editorial assets","58409","VIDEO-34742","Best Night: Austin - FULL EPISODE","58408","Editorial Assets"
"VIDEO-34740","Best Night Series Teaser","58406","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34741","Best Night Series Teaser - editorial assets","58407","VIDEO-34740","Best Night Series Teaser","58406","Editorial Assets"
"VIDEO-34737","Is This The Biggest, Cheesiest Grilled Cheese Ever?","58400","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34738","Is This The Biggest, Cheesiest Grilled Cheese Ever? - Editorial Assets","58401","VIDEO-34737","Is This The Biggest, Cheesiest Grilled Cheese Ever?","58400","Editorial Assets"
"VIDEO-34734","Makeup Artist and 70s Glam Girl Sandy Linter Shares Her Just Five Things | Just Five Things | Byrdie","58397","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34735","Makeup Artist and 70s Glam Girl Sandy Linter Shares Her Just Five Things | Just Five Things | Byrdie - Social Assets","58398","VIDEO-34734","Makeup Artist and 70s Glam Girl Sandy Linter Shares Her Just Five Things | Just Five Things | Byrdie","58397","Editorial Assets"
"VIDEO-34736","Makeup Artist and 70s Glam Girl Sandy Linter Shares Her Just Five Things  | Just Five Things | Byrdie - Additional Thumbnails","58399","VIDEO-34734","Makeup Artist and 70s Glam Girl Sandy Linter Shares Her Just Five Things | Just Five Things | Byrdie","58397","Editorial Assets"
"VIDEO-34732","6 Essential Things to Do in San Diego","58395","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34733","6 Essential Things to Do in San Diego - Editorial Assets","58396","VIDEO-34732","6 Essential Things to Do in San Diego","58395","Editorial Assets"
"VIDEO-34757","6 Essential Things to Do in San Diego - Social Assets","58889","VIDEO-34732","6 Essential Things to Do in San Diego","58395","Editorial Assets"
"VIDEO-34729","Must-Try Foods in San Diego","58392","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34730","Must-Try Foods in San Diego - Editorial Assets","58393","VIDEO-34729","Must-Try Foods in San Diego","58392","Editorial Assets"
"VIDEO-34755","Must-Try Foods in San Diego - Social Assets","58887","VIDEO-34729","Must-Try Foods in San Diego","58392","Editorial Assets"
"VIDEO-34727","5 Must-Visit Beaches in San Diego","58390","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34728","5 Must-Visit Beaches in San Diego - Editorial Assets","58391","VIDEO-34727","5 Must-Visit Beaches in San Diego","58390","Editorial Assets"
"VIDEO-34754","5 Must-Visit Beaches in San Diego - Social Assets","58885","VIDEO-34727","5 Must-Visit Beaches in San Diego","58390","Editorial Assets"
"VIDEO-34685","Finally Get Chocolate to Listen to You!","58348","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34686","Finally Get Chocolate to Listen to You - Editorial Assets","58349","VIDEO-34685","Finally Get Chocolate to Listen to You!","58348","Editorial Assets"
"VIDEO-34679","The Best Devices for Streaming TV","58342","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34680","The Best Devices for Streaming TV - Editorial Assets","58343","VIDEO-34679","The Best Devices for Streaming TV","58342","Editorial Assets"
"VIDEO-34677","Our Top 3 Android Tablets","58340","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-34678","Our Top 3 Android Tablets - Editorial Assets","58341","VIDEO-34677","Our Top 3 Android Tablets","58340","Editorial Assets"
