"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-33818","Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57481","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33819","Additional Thumbnails - Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57482","VIDEO-33818","Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57481","Editorial Assets"
"VIDEO-33820","Social Assets  - Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57483","VIDEO-33818","Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57481","Editorial Assets"
"VIDEO-34079","JVN - Archive - Original Video with Wide Shot","57742","VIDEO-33818","Jonathan Van Ness Takes Us Through His Nighttime Skincare Routine | Byrdie Bedtime | Byrdie","57481","Editorial Assets"
"VIDEO-33815","3 Chalky Finish Painted Pumpkin Projects for Halloween","57478","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33816","Chalky Finish Paint Pumpkins - Editorial Assets","57479","VIDEO-33815","3 Chalky Finish Painted Pumpkin Projects for Halloween","57478","Editorial Assets"
"VIDEO-33811","How to Wire and Install an Outlet","57474","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33813","How to Wire and Install an Outlet - Editorial Assets","57476","VIDEO-33811","How to Wire and Install an Outlet","57474","Editorial Assets"
"VIDEO-33809","How to Snake a Drain","57472","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33810","How to Snake a Drain - Editorial Assets","57473","VIDEO-33809","How to Snake a Drain","57472","Editorial Assets"
"VIDEO-33807","How to Tighten a Loose Door Handle","57470","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33808","How to Tighten a Loose Door Handle - Editorial Assets","57471","VIDEO-33807","How to Tighten a Loose Door Handle","57470","Editorial Assets"
"VIDEO-33806","How to Install a Light Bulb Fixture","57469","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33812","How to Install a Light Bulb Fixture - Editorial Assets","57475","VIDEO-33806","How to Install a Light Bulb Fixture","57469","Editorial Assets"
"VIDEO-33805","How to Replace a Toilet Flapper","57468","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33814","How to Replace a Toilet Flapper - Editorial Assets","57477","VIDEO-33805","How to Replace a Toilet Flapper","57468","Editorial Assets"
"VIDEO-33803","How to Hang a Dining Room Chandelier","57466","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33804","How to Hang a Dining Room Chandelier - Editorial Assets","57467","VIDEO-33803","How to Hang a Dining Room Chandelier","57466","Editorial Assets"
"VIDEO-33801","What's the Difference Between 3-Slot and 4-Slot Dryer Outlets","57464","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33802","What's the Difference Between 3-Slot and 4-Slot Dryer Outlets - Editorial Assets","57465","VIDEO-33801","What's the Difference Between 3-Slot and 4-Slot Dryer Outlets","57464","Editorial Assets"
"VIDEO-33799","How to Clean Your Dryer Vent","57462","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33800","How to Clean Your Dryer Vent - Editorial Assets","57463","VIDEO-33799","How to Clean Your Dryer Vent","57462","Editorial Assets"
"VIDEO-33797","How to Change a 4-Prong Dryer Cord to Fit a 3-Slot Outlet","57460","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33798","How to Change a 4-Prong Dryer Cord to Fit a 3-Slot Outlet - Editorial Assets","57461","VIDEO-33797","How to Change a 4-Prong Dryer Cord to Fit a 3-Slot Outlet","57460","Editorial Assets"
"VIDEO-33795","Replacing a 3-Prong Electrical Dryer Cord With a 4-Prong Cord","57458","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33796","Replacing a 3-Prong Electrical Dryer Cord With a 4-Prong Cord - Editorial Assets","57459","VIDEO-33795","Replacing a 3-Prong Electrical Dryer Cord With a 4-Prong Cord","57458","Editorial Assets"
"VIDEO-33791","How to Remove Stubborn Stickers","57454","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33792","How to Remove Stubborn Stickers - Editorial Assets","57455","VIDEO-33791","How to Remove Stubborn Stickers","57454","Editorial Assets"
"VIDEO-33785","How to Cut a Butternut Squash Without Fear","57448","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33786","How to Cut a Butternut Squash Without Fear - Editorial Assets","57449","VIDEO-33785","How to Cut a Butternut Squash Without Fear","57448","Editorial Assets"
"VIDEO-33782","The Rice Finger Trick","57445","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33783","The Rice Finger Trick - Editorial Assets","57446","VIDEO-33782","The Rice Finger Trick","57445","Editorial Assets"
"VIDEO-33778","How to Fold a Hoodie","57441","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33779","How to Fold a Hoodie - Editorial Assets","57442","VIDEO-33778","How to Fold a Hoodie","57441","Editorial Assets"
"VIDEO-33780","How to Fold a Hoodie - Social Assets","57443","VIDEO-33778","How to Fold a Hoodie","57441","Editorial Assets"
"VIDEO-33775","Never Hammer Your Fingers Again!","57438","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33776","Never Hammer Your Fingers Again! - Editorial Assets","57439","VIDEO-33775","Never Hammer Your Fingers Again!","57438","Editorial Assets"
"VIDEO-33771","Top 3 Bluetooth Headsets On the Market","57434","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33773","Top 3 Bluetooth Headsets - Editorial Assets","57436","VIDEO-33771","Top 3 Bluetooth Headsets On the Market","57434","Editorial Assets"
"VIDEO-33770","The Best Video Editing Software","57433","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33772","The Best Video Editing Software - Editorial Assets","57435","VIDEO-33770","The Best Video Editing Software","57433","Editorial Assets"
"VIDEO-33768","Top 3 Portable Jump Starters","57431","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33769","Top 3 Portable Jump Starters - Editorial Assets","57432","VIDEO-33768","Top 3 Portable Jump Starters","57431","Editorial Assets"
"VIDEO-33766","Top 3 Tablets On the Market","57429","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33767","Top 3 Tablets On the Market - Editorial Assets","57430","VIDEO-33766","Top 3 Tablets On the Market","57429","Editorial Assets"
"VIDEO-33763","Supermodel Lindsay Ellingson's Five Favorite Beauty Products | Just Five Things | Byrdie","57426","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33764","Supermodel Lindsay Ellingson's Five Favorite Beauty Products | Just Five Things | Byrdie - Social Assets","57427","VIDEO-33763","Supermodel Lindsay Ellingson's Five Favorite Beauty Products | Just Five Things | Byrdie","57426","Editorial Assets"
"VIDEO-33765","Supermodel Lindsay Ellingson's Five Favorite Beauty Products | Just Five Things | Byrdie - Thumbnails","57428","VIDEO-33763","Supermodel Lindsay Ellingson's Five Favorite Beauty Products | Just Five Things | Byrdie","57426","Editorial Assets"
"VIDEO-33760","How to Make Panko-Crusted Oven Fried Haddock","57423","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33761","How to Make Panko-Crusted Oven Fried Haddock","57424","VIDEO-33760","How to Make Panko-Crusted Oven Fried Haddock","57423","Editorial Assets"
"VIDEO-33758","Creamy Pasta and Tomato Sauce Recipe","57421","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33759","Creamy Pasta and Tomato Sauce Recipe","57422","VIDEO-33758","Creamy Pasta and Tomato Sauce Recipe","57421","Editorial Assets"
"VIDEO-33756","Easy Scampi Sauce for Shrimp","57419","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33757","Easy Scampi Sauce for Shrimp","57420","VIDEO-33756","Easy Scampi Sauce for Shrimp","57419","Editorial Assets"
"VIDEO-33754","The Best Slow Roasted Pork Picnic Shoulder Recipe","57417","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33755","The Best Slow Roasted Pork Picnic Shoulder Recipe","57418","VIDEO-33754","The Best Slow Roasted Pork Picnic Shoulder Recipe","57417","Editorial Assets"
"VIDEO-33752","Avgolemono (Greek Lemon Chicken Soup) Recipe","57415","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33753","Avgolemono (Greek Lemon Chicken Soup) Recipe","57416","VIDEO-33752","Avgolemono (Greek Lemon Chicken Soup) Recipe","57415","Editorial Assets"
"VIDEO-33750","How to Make Marinated Roast Beef","57413","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33751","How to Make Marinated Roast Beef","57414","VIDEO-33750","How to Make Marinated Roast Beef","57413","Editorial Assets"
"VIDEO-33748","How to Make Simple Lemon Caper Sauce","57411","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33749","How to Make Simple Lemon Caper Sauce","57412","VIDEO-33748","How to Make Simple Lemon Caper Sauce","57411","Editorial Assets"
"VIDEO-33746","Parmesan Crusted Baked Fish Fillet Recipe","57409","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33747","Parmesan Crusted Baked Fish Fillet Recipe","57410","VIDEO-33746","Parmesan Crusted Baked Fish Fillet Recipe","57409","Editorial Assets"
"VIDEO-33744","Crock Pot Pork Chops With Onion Soup Mix Recipe","57407","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33745","Crock Pot Pork Chops With Onion Soup Mix Recipe","57408","VIDEO-33744","Crock Pot Pork Chops With Onion Soup Mix Recipe","57407","Editorial Assets"
"VIDEO-33742","Perfect Homemade French Fries Recipe","57405","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33743","Perfect Homemade French Fries Recipe","57406","VIDEO-33742","Perfect Homemade French Fries Recipe","57405","Editorial Assets"
"VIDEO-33740","Buttery, Southern Fried Corn Recipe With Seasonings","57403","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33741","Buttery, Southern Fried Corn Recipe With Seasonings","57404","VIDEO-33740","Buttery, Southern Fried Corn Recipe With Seasonings","57403","Editorial Assets"
"VIDEO-33738","The Best Truffled French Fries Recipe","57401","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33739","The Best Truffled French Fries Recipe","57402","VIDEO-33738","The Best Truffled French Fries Recipe","57401","Editorial Assets"
"VIDEO-33736","How to Make Traditional British Mushy Peas","57399","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33737","How to Make Traditional British Mushy Peas","57400","VIDEO-33736","How to Make Traditional British Mushy Peas","57399","Editorial Assets"
"VIDEO-33734","How to Make Classic British Fish and Chips","57397","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33735","How to Make Classic British Fish and Chips","57398","VIDEO-33734","How to Make Classic British Fish and Chips","57397","Editorial Assets"
"VIDEO-33732","Easy, Traditional English Pancake Recipe","57395","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33733","Easy, Traditional English Pancake Recipe","57396","VIDEO-33732","Easy, Traditional English Pancake Recipe","57395","Editorial Assets"
"VIDEO-33730","Simple Steamed Carrots With Butter Recipe","57393","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33731","Simple Steamed Carrots With Butter Recipe","57394","VIDEO-33730","Simple Steamed Carrots With Butter Recipe","57393","Editorial Assets"
"VIDEO-33728","How to Make Baked Chuck Steak Dinner in Foil","57391","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33729","How to Make Baked Chuck Steak Dinner in Foil","57392","VIDEO-33728","How to Make Baked Chuck Steak Dinner in Foil","57391","Editorial Assets"
"VIDEO-33726","How to Make Steamed Corn on the Cob","57389","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33727","How to Make Steamed Corn on the Cob","57390","VIDEO-33726","How to Make Steamed Corn on the Cob","57389","Editorial Assets"
"VIDEO-33724","Delicious Filipino-Style Fruit Salad Recipe","57387","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33725","Filipino-Style Fruit Salad Recipe","57388","VIDEO-33724","Delicious Filipino-Style Fruit Salad Recipe","57387","Editorial Assets"
"VIDEO-33722","Why Are They Called Smartphones?","57385","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33723","Why Are They Called Smartphones? - Editorial Assets","57386","VIDEO-33722","Why Are They Called Smartphones?","57385","Editorial Assets"
"VIDEO-33720","What Is a Smartwatch and What Do They Do?","57383","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33721","What Is a Smartwatch and What Do They Do? - Editorial Assets","57384","VIDEO-33720","What Is a Smartwatch and What Do They Do?","57383","Editorial Assets"
"VIDEO-33718","How to Test the Power Supply in a Computer","57381","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33719","How to Test the Power Supply in a Computer - Editorial Assets","57382","VIDEO-33718","How to Test the Power Supply in a Computer","57381","Editorial Assets"
"VIDEO-33716","What is a Motherboard?","57379","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33717","What is a Motherboard? - Editorial Assets","57380","VIDEO-33716","What is a Motherboard?","57379","Editorial Assets"
"VIDEO-33711","Why Won't My iPad Charge?","57374","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33712","Why Won't My iPad Charge? - Editorial Assets","57375","VIDEO-33711","Why Won't My iPad Charge?","57374","Editorial Assets"
"VIDEO-33709","How to Manually Test a Power Supply With a Multimeter","57372","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33710","How to Manually Test a Power Supply With a Multimeter - Editorial Assets","57373","VIDEO-33709","How to Manually Test a Power Supply With a Multimeter","57372","Editorial Assets"
"VIDEO-33707","The Best Call Blocker Apps For Smartphones","57370","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33708","The Best Call Blocker Apps For Smartphones - Editorial Assets","57371","VIDEO-33707","The Best Call Blocker Apps For Smartphones","57370","Editorial Assets"
"VIDEO-33705","Getting In and Out of iPhone Recovery Mode","57368","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33706","Getting In and Out of iPhone Recovery Mode - Editorial Assets","57369","VIDEO-33705","Getting In and Out of iPhone Recovery Mode","57368","Editorial Assets"
"VIDEO-33703","How to Fix an iPhone Stuck on the Apple Logo","57366","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33704","How to Fix an iPhone Stuck on the Apple Logo - Editorial Assets","57367","VIDEO-33703","How to Fix an iPhone Stuck on the Apple Logo","57366","Editorial Assets"
"VIDEO-33701","How to Reset your iPhone","57364","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33702","How to Reset your iPhone - Editorial Assets","57365","VIDEO-33701","How to Reset your iPhone","57364","Editorial Assets"
"VIDEO-33700","Free Word Processors Alternatives to MS Word","57363","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33713","Free Word Processors Alternatives to MS Word - Editorial Assets","57376","VIDEO-33700","Free Word Processors Alternatives to MS Word","57363","Editorial Assets"
"VIDEO-33698","How to Use Your iPad as a Second Monitor","57361","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33699","How to Use Your iPad as a Second Monitor - Editorial Assets","57362","VIDEO-33698","How to Use Your iPad as a Second Monitor","57361","Editorial Assets"
"VIDEO-33696","How to Troubleshoot HDMI Connection Problems","57359","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33697","How to Troubleshoot HDMI Connection Problems - Editorial Assets","57360","VIDEO-33696","How to Troubleshoot HDMI Connection Problems","57359","Editorial Assets"
"VIDEO-33694","Electrical Esthetician Melanie Simon Shares Her Five Beauty Essentials | Just Five Things | Byrdie","57357","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33695","Electrical Esthetician Melanie Simon Shares Her Five Beauty Essentials | Just Five Things | Byrdie - Social Assets","57358","VIDEO-33694","Electrical Esthetician Melanie Simon Shares Her Five Beauty Essentials | Just Five Things | Byrdie","57357","Editorial Assets"
"VIDEO-33692","Celebrity Hairstylist Bryce Scarlett's Five Favorite Beauty Products | Just Five Things | Byrdie","57355","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33693","Celebrity Hairstylist Bryce Scarlett Shares His Five Favorite Beauty Products | Just Five Things | Byrdie - Social Assets","57356","VIDEO-33692","Celebrity Hairstylist Bryce Scarlett's Five Favorite Beauty Products | Just Five Things | Byrdie","57355","Editorial Assets"
"VIDEO-33690","Celebrity Hairstylist Joseph Maine's Top Five Beauty Products | Just Five Things | Byrdie","57353","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33691","Celebrity Hairstylist Joseph Maine's Top Five Beauty Products | Just Five Things | Byrdie - Social Assets","57354","VIDEO-33690","Celebrity Hairstylist Joseph Maine's Top Five Beauty Products | Just Five Things | Byrdie","57353","Editorial Assets"
"VIDEO-33685","Best Karaoke Machines on the Market","57348","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33686","Best Karaoke Machines on the Market - Editorial Assets","57349","VIDEO-33685","Best Karaoke Machines on the Market","57348","Editorial Assets"
"VIDEO-33675","What Is Roku And How Does It Work?","57338","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33676","What Is Roku And How Does It Work? - Editorial Assets","57339","VIDEO-33675","What Is Roku And How Does It Work?","57338","Editorial Assets"
"VIDEO-33673","What is USB 3.0","57336","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33674","What is USB 3.0 - Editorial Assets","57337","VIDEO-33673","What is USB 3.0","57336","Editorial Assets"
"VIDEO-33671","How to Reboot a Router & Modem","57334","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33672","How to Reboot a Router & Modem - Editorial Assets","57335","VIDEO-33671","How to Reboot a Router & Modem","57334","Editorial Assets"
"VIDEO-33669","How to Reset a Home Network Router","57332","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33670","How to Reset a Home Network Router - Editorial Assets","57333","VIDEO-33669","How to Reset a Home Network Router","57332","Editorial Assets"
"VIDEO-33667","See Who Unfollowed You on Instagram","57330","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33668","See Who Unfollowed You on Instagram - Editorial Assets","57331","VIDEO-33667","See Who Unfollowed You on Instagram","57330","Editorial Assets"
"VIDEO-33665","What Is a Router and How Does it Work?","57328","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33666","What Is a Router and How Does it Work? - Editorial Assets","57329","VIDEO-33665","What Is a Router and How Does it Work?","57328","Editorial Assets"
"VIDEO-33663","What Is a Modem in Computer Networking?","57326","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33664","What Is a Modem in Computer Networking? - Editorial Assets","57327","VIDEO-33663","What Is a Modem in Computer Networking?","57326","Editorial Assets"
"VIDEO-33662","Amika High Tide Deep Waver | New & Now |  Byrdie","57325","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33687","Amika High Tide Deep Waver | New & Now |  Byrdie - Additional Thumbnails","57350","VIDEO-33662","Amika High Tide Deep Waver | New & Now |  Byrdie","57325","Editorial Assets"
"VIDEO-33915","Amika High Tide Deep Waver | New & Now |  Byrdie - Social Assets","57578","VIDEO-33662","Amika High Tide Deep Waver | New & Now |  Byrdie","57325","Editorial Assets"
"VIDEO-33659","The Best Smokers","57322","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33661","The Best Smokers - Editorial Assets","57324","VIDEO-33659","The Best Smokers","57322","Editorial Assets"
"VIDEO-33658","The Best Smoker Under $400","57321","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-33660","The Best Smoker Under $400 - Editorial Assets","57323","VIDEO-33658","The Best Smoker Under $400","57321","Editorial Assets"
"VIDEO-3353","Assemble and Clean Guns","14541","","","",""
"VIDEO-3438","How to Clean a Gun","14626","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3439","How to Oil a Gun","14627","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3440","How to Disassemble a Walther PPK .380","14628","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3441","What are The Different Types of Guns","14629","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3442","How to Use a Gun Safety Lock","14630","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3443","How to Load a Magazine","14631","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3444","How to Store a Gun","14632","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3445","What are Jam-Clearing Drills for an Automatic Gun","14633","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3446","What are Accessories for an M4","14634","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3447","How to Disassemble a Glock 23","14635","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3448","What are The Different Types of Bullets","14636","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3449","Understanding the Parts of a Gun","14637","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3450","How to Assemble an M4 .223","14638","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
"VIDEO-3451","How to Assemble a Glock 23","14639","VIDEO-3353","Assemble and Clean Guns","14541","Editorial Assets"
