"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-4694","First Aid","15908","","","",""
"VIDEO-4695","How to Do CPR","15909","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4696","How to Stop a Bloody Nose","15910","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4697","Wounds You CAN Care for Yourself","15911","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4698","Tips for Treating a Burn","15912","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4699","How to Stop a Baby from Choking","15913","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4700","Instructions for the Heimlich Maneuver for Adults","15914","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4701","Tips for Treating Diarrhea","15915","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4702","Tips for Stopping Nausea","15916","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4703","Instructions for Treating Head Lice","15917","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4704","Instructions for Removing a Splinter","15918","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4705","Instructions for Treating a Bee or Wasp Sting","15919","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4706","How to Treat a Choking Toddler","15920","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4707","Supplies You Must Have in Your First Aid Kit","15921","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4708","Must-Have Supplies for a Sports First Aid Kit","15922","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4709","How to Remove a Tick","15923","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4710","How to Treat a Bug Bite","15924","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4711","TK Situations When You Must Call 911","15925","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4712","Teach Kids About Calling 911","15926","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4713","Understanding Signs and Symptoms of a Stroke","15927","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4714","Should I Give My Child Pain Medication?","15928","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4715","How to Recognize a Heart Attack in Women","15929","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4716","How to Read a Pulse","15930","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4717","How to Treat an Allergic Reaction","15931","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4778","About Me","15992","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4779","How to Treat Heat Related Illness","15993","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4780","How to Treat a Sprained Joint","15994","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4781","How to Remove a Ring Stuck on a Finger","15995","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4782","How to Treat a Pulled Muscle","15996","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4783","How to Treat a Blister","15997","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4784","What Should I Do if My Tooth is Knocked Out?","15998","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4785","How to Treat Severe Sunburn","15999","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-5014","GH1, Cam A","16228","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-5015","Cam B, Reel 1","16229","VIDEO-4694","First Aid","15908","Editorial Assets"
"VIDEO-4603","Leadership In the Workplace","15817","","","",""
"VIDEO-4604","How to Be a Successful Manager","15818","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4605","Tips for Delegating","15819","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4606","How to Make People Feel Valuable","15820","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4607","TK Tips for Monitoring Employee Performance","15821","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4608","TK Tips for Giving Positive Feedback to Employees","15822","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4609","TK Tips for Giving Negative Feedback to Employees","15823","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4610","What is the Difference Between Coaching and Managing?","15824","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4611","What  is Your Management Style?","15825","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4612","What Kind of Manager Does Your Employee Need?","15826","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4613","How to Address Concerns About Performance","15827","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4614","How to Make a Performance Improvement Plan","15828","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4615","TK Tips for New Managers","15829","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4616","TK Tips for Veteran Managers","15830","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4617","Tips for Delivering Tough Messages to Employees","15831","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4618","Why You Should Create a Succession Plan","15832","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4619","Tips for Leading a Successful Team","15833","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4620","TK Things Your Employees Aren't Telling You","15834","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4621","When Should You Discuss Salary With Employees","15835","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4622","TK Ways to Motivate Your Team","15836","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4623","How to Know When the Workload is Lopsided","15837","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4624","TK Essentail Roles of a Manager","15838","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4625","How to Manage a Conflict Between Employees","15839","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4626","TK Chacteristics of Successful CEO's","15840","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4627","TK Flaws in Annual Performance Reviews","15841","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4628","TK Flaws Managers Make When Setting Goals","15842","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4629","TK Tips for Managing Entry Level Employees","15843","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4630","TK Tips for Managing Management Level Employees","15844","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4631","How to Find Your Leadership Brand","15845","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4632","Leadership Skills 101","15846","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4633","How to Know if Your Employees are Overwhelmed","15847","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4634","TK Tips for Managing New Employees","15848","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4635","How to Go From Employee to Manager","15849","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4636","How to Go From Manager to Leader","15850","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4637","How to Connect Your Team with the Core Values of the Company","15851","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4638","Who Should Be a Manager?","15852","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4639","TK Tips for Developing Employees","15853","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4640","Is Emotional Intelligence a Real Thing?","15854","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4641","Are You a Micromanager?","15855","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4642","What Does Top Talent Look for From a Manager in a New Position","15856","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4643","TK Tips for Keeping Top Talent","15857","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4644","TK Tasks a Manager Should NOT Delegate","15858","VIDEO-4603","Leadership In the Workplace","15817","Editorial Assets"
"VIDEO-4579","At-Home Barre Workout","15793","","","",""
"VIDEO-4806","What Equipment Do You Need for Barre at Home?","16020","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4807","How to Do Standing Leg Extensions","16021","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4808","How to Do a Seated Pretzel | Home Barre Workout","16022","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4809","How to Do a Standing Pretzel | Home Barre Workout","16023","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4810","How to Do Barre Lunges","16024","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4811","How to Do Thigh Dancing Exercise","16025","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4812","How to Do Calf Exercises in Wide Second Position","16026","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4813","How to Do Turned Out Leg Raises","16027","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4814","How to Do Parallel Leg Raises","16028","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4815","How to Do a Wide Second Pli� Pulse","16029","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4816","How to Do a First Position Relevé Plié","16030","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4817","How to Do Floor Side Leg Raises","16031","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4818","How to Do Standing Fold Overs","16032","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4819","How to Do All Fours Table Top | Home Barre Workout","16033","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4820","How to Do Rear Fly and Arabesque Lift","16034","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4821","Dos and Don'ts of Glute Work | Home Barre Workout","16035","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4822","Do's and Don'ts of Weight Work | Home Barre Workout","16036","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4823","How to Do a Tricep Push Up | Home Barre Workout","16037","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4824","How to Do A Tricep Dip | Home Barre Workout","16038","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4825","How to Use Weights in a Barre Workout","16039","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4826","How to Do a Barre Push Up with Pulse","16040","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4827","How to Do a Barre Push Up","16041","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4828","Do's and Don'ts for Core Work | Home Barre Workout","16042","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4829","How to Do a Plank Series | Home Barre Workout","16043","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4830","How to Do a Side Plank Series | Home Barre Workout","16044","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4831","Best Barre Core Exercises","16045","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4832","At Home Gliding Exercises","16046","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4833","How to Cool Down After a Barre Workout","16047","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4834","Why is Form Important in a Barre Workout","16048","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4835","How to Do Back Dancing","16049","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4836","How to Do Floor Side Leg Raises","16050","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4871","Cam A, Reel 1","16085","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4872","Cam B, Reel 1","16086","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4873","GH1","16087","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4874","GH2","16088","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4990","Rachel Nicks | About Me","16204","VIDEO-4579","At-Home Barre Workout","15793","Editorial Assets"
"VIDEO-4578","Italy Travel","15792","","","",""
"VIDEO-4645","Must See Sights in Venice","15859","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4646","Must Visit Cities in Italy","15860","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4647","Must Visit Beaches in Italy","15861","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4648","Must Visit Museums in Italy","15862","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4649","Must Visit Small Towns in Italy","15863","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4650","TK Restaurants in Italy You Have to Eat At","15864","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4651","Why to Not Visit Italy","15865","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4652","Tips for Visiting the Amalfi Coast","15866","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4653","Tips for Visiting Capri","15867","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4654","Tips for Visiting Florence","15868","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4655","Tips for Visiting Rome","15869","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4656","Tips for Visiting Naples","15870","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4657","Tips for Visiting Venice","15871","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4658","Tips for Visiting Milan","15872","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4659","Must See Sights in Rome","15873","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4660","Must See Sights in Florence","15874","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4661","Must See Sights in Tuscany","15875","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4662","Day Trips from Venice","15876","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4663","Day Trips from Florence","15877","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4664","Day Trips from Rome","15878","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4665","Day Trips from Milan","15879","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4666","Day Trip from Naples","15880","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4667","Must Visit Gardens in Italy","15881","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4668","Must Visit Spas in Italy","15882","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4669","Hidden Treasures of Rome","15883","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4670","Hidden Treasures of Florence","15884","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4671","Hidden Treasures of Venice","15885","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4672","Highlights of Sicily or Must See Sights in Sicily","15886","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4673","Great Hikes in Italy","15887","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4674","Craft Classes in Italy","15888","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4675","Restaurant Customs in Italy","15889","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4676","How to Order Coffee in Italy","15890","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4677","Tips for Taking a Cooking Class in Italy","15891","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4678","5 Top Cooking Classes in Italy","15892","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4679","Entertainment in Rome","15893","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4680","Entertainment in Florence","15894","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4681","Entertainment in Venice","15895","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4682","Tips for Best Gelato in Italy","15896","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4683","Best Chocolate Shops in Italy","15897","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4684","Best Shopping in Rome","15898","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4685","Best Shopping In Florence","15899","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4686","Best Shopping in Venice","15900","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4687","Tips for Shopping in Italy","15901","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4688","Budget Travel Tips for Italy","15902","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4689","Packing Tips for Italy","15903","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4690","Shopping for Glass in Italy","15904","VIDEO-4578","Italy Travel","15792","Editorial Assets"
"VIDEO-4691","Tips for Seeing the Pope in Rome","15905","VIDEO-4578","Italy Travel","15792","Editorial Assets"
