"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-19720","Pork Roll Tater Tot Grilled Cheese for Late Nights and Good Mornings","32250","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-36245","Behold the Pork Roll Tater Tot Grilled Cheese - Social Assets","60481","VIDEO-19720","Pork Roll Tater Tot Grilled Cheese for Late Nights and Good Mornings","32250","Editorial Assets"
"VIDEO-6502","Behold the Pork Roll Tater Tot Grilled Cheese - Editorial Assets","17726","VIDEO-19720","Pork Roll Tater Tot Grilled Cheese for Late Nights and Good Mornings","32250","Editorial Assets"
"VIDEO-19717","How to Make a Roux","32247","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6427","Recipe for Roux, a Super Simple, Essential Sauce Thickener - Editorial Assets","17641","VIDEO-19717","How to Make a Roux","32247","Editorial Assets"
"VIDEO-19682","BBQ Chicken-Stuffed Sweet Potatoes","32212","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6515","BBQ Chicken-Stuffed Sweet Potatoes - Editorial and Social Assets","17739","VIDEO-19682","BBQ Chicken-Stuffed Sweet Potatoes","32212","Editorial Assets"
"VIDEO-19610","How to Melt Chocolate Without a Microwave","32140","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6395","How to Melt Chocolate-No Microwave Needed - Editorial and Social Assets","17609","VIDEO-19610","How to Melt Chocolate Without a Microwave","32140","Editorial Assets"
"VIDEO-19510","Healthy Make-Ahead Zucchini Oat Breakfast Cookies","32040","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6483","Healthy Zucchini Oat Breakfast Cookies - Editorial Assets","17707","VIDEO-19510","Healthy Make-Ahead Zucchini Oat Breakfast Cookies","32040","Editorial Assets"
"VIDEO-19461","The Best Vodka Cocktails","31991","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6380","Our Best Vodka Cocktails - Editorial Assets","17594","VIDEO-19461","The Best Vodka Cocktails","31991","Editorial Assets"
"VIDEO-19458","A Go-To Lemon Rosemary Marinade Recipe","31988","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6432","Lemon and Rosemary Marinade - Editorial Assets","17646","VIDEO-19458","A Go-To Lemon Rosemary Marinade Recipe","31988","Editorial Assets"
