"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-39953","Chocolate Delight","65761","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39968","Chocolate Delight - EDITORIAL ASSETS","65776","VIDEO-39953","Chocolate Delight","65761","Editorial Assets"
"VIDEO-39952","Pudding ""Dirt"" Dessert Cups","65760","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39961","Pudding ""Dirt"" Dessert Cups - EDITORIAL ASSETS","65769","VIDEO-39952","Pudding ""Dirt"" Dessert Cups","65760","Editorial Assets"
"VIDEO-39951","Instant Pot Pork Shoulder","65759","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39962","Instant Pot Pork Shoulder - EDITORIAL ASSETS","65770","VIDEO-39951","Instant Pot Pork Shoulder","65759","Editorial Assets"
"VIDEO-39950","Bay Scallops With Garlic","65758","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39963","Bay Scallops With Garlic - EDITORIAL ASSETS","65771","VIDEO-39950","Bay Scallops With Garlic","65758","Editorial Assets"
"VIDEO-39949","The Perfect Traditional Yorkshire Parkin","65757","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39964","The Perfect Traditional Yorkshire Parkin - EDITORIAL ASSETS","65772","VIDEO-39949","The Perfect Traditional Yorkshire Parkin","65757","Editorial Assets"
"VIDEO-39948","Instant Pot Carne Asada","65756","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39965","Instant Pot Carne Asada - EDITORIAL ASSETS","65773","VIDEO-39948","Instant Pot Carne Asada","65756","Editorial Assets"
"VIDEO-39947","Thai Green Mango Salad","65755","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39966","Thai Green Mango Salad - EDITORIAL ASSETS","65774","VIDEO-39947","Thai Green Mango Salad","65755","Editorial Assets"
"VIDEO-39946","Chicken Veloute, One of the Five Mother Sauces","65754","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39967","Chicken Veloute, One of the Five Mother Sauces - EDITORIAL ASSETS","65775","VIDEO-39946","Chicken Veloute, One of the Five Mother Sauces","65754","Editorial Assets"
"VIDEO-39945","Slow-Roasted Rosemary Garlic Lamb Shanks","65753","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39959","Slow-Roasted Rosemary Garlic Lamb Shanks - EDITORIAL ASSETS","65767","VIDEO-39945","Slow-Roasted Rosemary Garlic Lamb Shanks","65753","Editorial Assets"
"VIDEO-39944","How to Can Whole Peeled Tomatoes","65752","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39960","How to Can Whole Peeled Tomatoes - EDITORIAL ASSETS","65768","VIDEO-39944","How to Can Whole Peeled Tomatoes","65752","Editorial Assets"
"VIDEO-39943","Authentic Jamaican Jerk Sauce","65751","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39958","Authentic Jamaican Jerk Sauce - EDITORIAL ASSETS","65766","VIDEO-39943","Authentic Jamaican Jerk Sauce","65751","Editorial Assets"
"VIDEO-39942","Pork Injection Marinade","65750","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39957","Pork Injection Marinade - EDITORIAL ASSETS","65765","VIDEO-39942","Pork Injection Marinade","65750","Editorial Assets"
"VIDEO-39941","Lavender Simple Syrup","65749","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39956","Lavender Simple Syrup - EDITORIAL ASSETS","65764","VIDEO-39941","Lavender Simple Syrup","65749","Editorial Assets"
"VIDEO-39940","Easy Homemade Grenadine","65748","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39955","Easy Homemade Grenadine - EDITORIAL ASSETS","65763","VIDEO-39940","Easy Homemade Grenadine","65748","Editorial Assets"
"VIDEO-39939","How to Make Your Own Herbes de Provence Blend","65747","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39954","Herbes de Provence Blend - EDITORIAL ASSETS","65762","VIDEO-39939","How to Make Your Own Herbes de Provence Blend","65747","Editorial Assets"
"VIDEO-39935","Paper Palm Leaves Are a Fresh Take on a Classic Centerpiece","65743","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39936","Paper Palm Leaves Are a Fresh Take on a Classic Centerpiece - Editorial Assets","65744","VIDEO-39935","Paper Palm Leaves Are a Fresh Take on a Classic Centerpiece","65743","Editorial Assets"
"VIDEO-39934","Right Rail Player Horizontal Cut Transforming an Object with Chalky Paint","65742","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39938","Right Rail Player Horizontal Cut Transforming an Object with Chalky Paint - Editorial","65746","VIDEO-39934","Right Rail Player Horizontal Cut Transforming an Object with Chalky Paint","65742","Editorial Assets"
"VIDEO-39901","Betsy Blanche and Shawna Rae's Real Wedding Video","65706","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-39902","Editorial Assets - Betsy Blanche and Shawna Rae's Real Wedding Video","65707","VIDEO-39901","Betsy Blanche and Shawna Rae's Real Wedding Video","65706","Editorial Assets"
"VIDEO-399","Basic Cat Care","11304","","","",""
"VIDEO-1753","About Me","12941","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-400","Train a Cat to Come When Called","11305","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-401","How Cats Show Their Love","11306","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-402","Is a Cat the Right Pet for You?","11307","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-403","How to Play With Your Cat","11308","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-404","How to Make Sure Your Cat Isn't Bored","11309","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-405","Dry Cat Food vs. Wet Cat Food","11310","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-406","Should You Give Your Cat Catnip?","11311","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-407","How to Help Your Cat Lose Weight","11312","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-408","How to Treat a Cat for Fleas","11313","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-410","How to Get Your Cat to Stop Scratching the Furniture","11315","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-411","How To Make Your Cat Let You Sleep","11316","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-412","How to Travel with a Cat","11317","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-413","How to Trim Your Cat's Claws","11318","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-414","How to Give a Cat Medicine","11319","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-415","How to Brush Cat Teeth","11320","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-416","6 Things You May Not Realize About Your Cat","11321","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-417","How to Litter Train a Kitten","11322","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-419","How to Stop Cats From Urinating In The House","11324","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
"VIDEO-420","How to Introduce Cats To Each Other","11325","VIDEO-399","Basic Cat Care","11304","Editorial Assets"
