"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-37874","How to Make Your Own Lemon Barley Water","63544","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37875","How to Make Your Own Lemon Barley Water","63545","VIDEO-37874","How to Make Your Own Lemon Barley Water","63544","Editorial Assets"
"VIDEO-38511","social assets","64202","VIDEO-37874","How to Make Your Own Lemon Barley Water","63544","Editorial Assets"
"VIDEO-37872","How to Make Your Own Herbal Sage Tea","63542","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37873","editorial assets","63543","VIDEO-37872","How to Make Your Own Herbal Sage Tea","63542","Editorial Assets"
"VIDEO-38059","social assets","63749","VIDEO-37872","How to Make Your Own Herbal Sage Tea","63542","Editorial Assets"
"VIDEO-37870","Easy Banana Smoothie Recipe","63540","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37871","editorial assets","63541","VIDEO-37870","Easy Banana Smoothie Recipe","63540","Editorial Assets"
"VIDEO-37868","Delicious Round White Bread Recipe","63538","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37869","editorial assets","63539","VIDEO-37868","Delicious Round White Bread Recipe","63538","Editorial Assets"
"VIDEO-37956","social assets","63634","VIDEO-37868","Delicious Round White Bread Recipe","63538","Editorial Assets"
"VIDEO-37866","The Best Banana Nut Bread Recipe","63536","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37867","editorial assets","63537","VIDEO-37866","The Best Banana Nut Bread Recipe","63536","Editorial Assets"
"VIDEO-38006","social assets","63696","VIDEO-37866","The Best Banana Nut Bread Recipe","63536","Editorial Assets"
"VIDEO-37864","Champagne White Chocolate Truffles Recipe","63534","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37865","editorial assets","63535","VIDEO-37864","Champagne White Chocolate Truffles Recipe","63534","Editorial Assets"
"VIDEO-37862","Har Gow (Chinese Shrimp Dumplings) Recipe","63532","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37863","editorial assets","63533","VIDEO-37862","Har Gow (Chinese Shrimp Dumplings) Recipe","63532","Editorial Assets"
"VIDEO-37860","The Best Moroccan Chicken Tagine Recipe","63530","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37861","editorial assets","63531","VIDEO-37860","The Best Moroccan Chicken Tagine Recipe","63530","Editorial Assets"
"VIDEO-38068","social assets","63758","VIDEO-37860","The Best Moroccan Chicken Tagine Recipe","63530","Editorial Assets"
"VIDEO-37858","Easy Punjabi Sarson Ka Saag Recipe","63528","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37859","editorial assets","63529","VIDEO-37858","Easy Punjabi Sarson Ka Saag Recipe","63528","Editorial Assets"
"VIDEO-37855","How to Make Easy Vegan Fried Tofu","63525","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37856","editorial assets","63526","VIDEO-37855","How to Make Easy Vegan Fried Tofu","63525","Editorial Assets"
"VIDEO-37853","Korean Steamed Egg (Gaeran Jim) Recipe","63523","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37854","Korean Steamed Egg (Gaeran Jim) Recipe","63524","VIDEO-37853","Korean Steamed Egg (Gaeran Jim) Recipe","63523","Editorial Assets"
"VIDEO-38512","social assets","64203","VIDEO-37853","Korean Steamed Egg (Gaeran Jim) Recipe","63523","Editorial Assets"
"VIDEO-37851","Spicy Kimchi Jjigae Stew Recipe","63521","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37852","editorial assets","63522","VIDEO-37851","Spicy Kimchi Jjigae Stew Recipe","63521","Editorial Assets"
"VIDEO-37849","Baked Halibut and Parmesan Crumb Topping Recipe","63519","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37850","editorial assets","63520","VIDEO-37849","Baked Halibut and Parmesan Crumb Topping Recipe","63519","Editorial Assets"
"VIDEO-37847","Old-Fashioned Southern Meatloaf Recipe","63517","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37848","editorial assets","63518","VIDEO-37847","Old-Fashioned Southern Meatloaf Recipe","63517","Editorial Assets"
"VIDEO-37845","Easy Skillet Spaghetti Recipe","63515","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37846","editorial assets","63516","VIDEO-37845","Easy Skillet Spaghetti Recipe","63515","Editorial Assets"
"VIDEO-38031","social assets","63721","VIDEO-37845","Easy Skillet Spaghetti Recipe","63515","Editorial Assets"
"VIDEO-37843","Honey Butter Roasted Chicken Drumstick Recipe","63513","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37844","editorial assets","63514","VIDEO-37843","Honey Butter Roasted Chicken Drumstick Recipe","63513","Editorial Assets"
"VIDEO-37841","How to Make a Vegan Chickpea Veggie Burger","63511","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37842","editorial assets","63512","VIDEO-37841","How to Make a Vegan Chickpea Veggie Burger","63511","Editorial Assets"
"VIDEO-38021","social assets","63711","VIDEO-37841","How to Make a Vegan Chickpea Veggie Burger","63511","Editorial Assets"
"VIDEO-37839","Pot Roast With Potatoes and Carrots Recipe","63509","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37840","editorial assets","63510","VIDEO-37839","Pot Roast With Potatoes and Carrots Recipe","63509","Editorial Assets"
"VIDEO-37837","Oven Sun-Dried Tomatoes Recipe","63507","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37838","editorial assets","63508","VIDEO-37837","Oven Sun-Dried Tomatoes Recipe","63507","Editorial Assets"
"VIDEO-37961","social assets","63651","VIDEO-37837","Oven Sun-Dried Tomatoes Recipe","63507","Editorial Assets"
"VIDEO-37835","Easy Cheese Soufflé Recipe","63505","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37836","editorial assets","63506","VIDEO-37835","Easy Cheese Soufflé Recipe","63505","Editorial Assets"
"VIDEO-37995","social assets","63685","VIDEO-37835","Easy Cheese Soufflé Recipe","63505","Editorial Assets"
"VIDEO-37833","Easy Chicken Consommé Recipe","63503","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37834","editorial assets","63504","VIDEO-37833","Easy Chicken Consommé Recipe","63503","Editorial Assets"
"VIDEO-37831","Classic French Bordelaise Red-Wine Sauce Recipe","63501","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37832","editorial assets","63502","VIDEO-37831","Classic French Bordelaise Red-Wine Sauce Recipe","63501","Editorial Assets"
"VIDEO-37829","Delicious Cream of Wheat Porridge Recipe","63499","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37830","editorial assets","63500","VIDEO-37829","Delicious Cream of Wheat Porridge Recipe","63499","Editorial Assets"
"VIDEO-37827","How to Make the Perfect Hard-Boiled Egg","63497","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-37828","editorial assets","63498","VIDEO-37827","How to Make the Perfect Hard-Boiled Egg","63497","Editorial Assets"
"VIDEO-37958","social assets","63642","VIDEO-37827","How to Make the Perfect Hard-Boiled Egg","63497","Editorial Assets"
"VIDEO-37825","Traditional Johnnycakes Cornmeal Pancake Recipe","63495","","","","Use for videos to be published.  One video and one thumbnail per ticket."
