"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-31425","TradeStation Broker Review 2019","54797","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31459","Tradestation Broker Review 2019 - Editorial Assets","54835","VIDEO-31425","TradeStation Broker Review 2019","54797","Editorial Assets"
"VIDEO-31423","The Easy B-52 Shot Recipe You Need","54795","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31424","The Easy B-52 Shot Recipe You Need - Editorial Assets","54796","VIDEO-31423","The Easy B-52 Shot Recipe You Need","54795","Editorial Assets"
"VIDEO-31420","How to Make Rock Candy","54791","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31421","How to Make Rock Candy - Editorial Assets","54792","VIDEO-31420","How to Make Rock Candy","54791","Editorial Assets"
"VIDEO-31419","E*Trade Broker Review 2019","54788","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31461","E*Trade Broker Review 2019 - Editorial Assets","54837","VIDEO-31419","E*Trade Broker Review 2019","54788","Editorial Assets"
"VIDEO-31413","Fidelity Broker Review 2019","54782","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31462","Fidelity Broker Review 2019 - Editorial Assets","54838","VIDEO-31413","Fidelity Broker Review 2019","54782","Editorial Assets"
"VIDEO-31410","Easy and Fresh Lemon Drop Martini Recipe","54779","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31411","Easy and Fresh Lemon Drop Martini Recipe - Editorial Assets","54780","VIDEO-31410","Easy and Fresh Lemon Drop Martini Recipe","54779","Editorial Assets"
"VIDEO-31409","How to Make a Sloe Gin Fizz Cocktail","54778","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31422","How to Make a Sloe Gin Fizz Cocktail - Editorial Assets","54794","VIDEO-31409","How to Make a Sloe Gin Fizz Cocktail","54778","Editorial Assets"
"VIDEO-31406","How to Make a Delicious Irish Car Bomb","54775","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31407","How to Make a Delicious Irish Car Bomb - Editorial Assets","54776","VIDEO-31406","How to Make a Delicious Irish Car Bomb","54775","Editorial Assets"
"VIDEO-31403","How to Make Delicious, Buttered Baby Carrots","54772","","","","Use for videos to be published.  One video and one thumbnail per ticket."
