"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-25036","Challenge Your Glutes with the Single Leg Bridge","37757","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25357","Challenge Your Glutes with the Single Leg Bridge - Editorial Assets","38183","VIDEO-25036","Challenge Your Glutes with the Single Leg Bridge","37757","Editorial Assets"
"VIDEO-25035","Work Your Butt with the Bridge Exercise","37756","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25356","Work Your Butt with the Bridge Exercise - Editorial Assets","38182","VIDEO-25035","Work Your Butt with the Bridge Exercise","37756","Editorial Assets"
"VIDEO-25034","Bicycle Crunch Your Way to Better Abs","37755","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25355","Bicycle Crunch Your Way to Better Abs - Editorial Assets","38181","VIDEO-25034","Bicycle Crunch Your Way to Better Abs","37755","Editorial Assets"
"VIDEO-25033","Build Core Strength with the V-Sit Exercise","37754","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25354","Build Core Strength with the V-Sit Exercise - Editorial Assets","38180","VIDEO-25033","Build Core Strength with the V-Sit Exercise","37754","Editorial Assets"
"VIDEO-25032","Strengthen Your Hips with Side Planks","37753","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25353","Strengthen Your Hips with Side Planks - Editorial Assets","38178","VIDEO-25032","Strengthen Your Hips with Side Planks","37753","Editorial Assets"
"VIDEO-25031","Skip Your Way to a Stronger Core","37752","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25349","Skip Your Way to a Stronger Core - Editorial Assets","38173","VIDEO-25031","Skip Your Way to a Stronger Core","37752","Editorial Assets"
"VIDEO-25030","How to Conduct Yourself at Every Stage of an Interview","37751","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25397","How to Conduct Yourself at Every Stage of an Interview - Editorial Assets","38233","VIDEO-25030","How to Conduct Yourself at Every Stage of an Interview","37751","Editorial Assets"
"VIDEO-25029","3 Examples of Good Voicemail Greetings","37750","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25408","3 Examples of Good Voicemail Greetings - Editorial Assets","38244","VIDEO-25029","3 Examples of Good Voicemail Greetings","37750","Editorial Assets"
"VIDEO-25028","4 Tips for Answering: Tell Me Something Not on Your Resume","37749","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25394","4 Tips for Answering: Tell Me Something Not on Your Resume - Editorial Assets","38230","VIDEO-25028","4 Tips for Answering: Tell Me Something Not on Your Resume","37749","Editorial Assets"
"VIDEO-25027","4 Essential Tips for Asking Second Interview Questions","37748","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25412","4 Essential Tips for Asking Second Interview Questions - Editorial Assets","38248","VIDEO-25027","4 Essential Tips for Asking Second Interview Questions","37748","Editorial Assets"
"VIDEO-25026","How to Answer 4 Common Receptionist Interview Questions","37747","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25396","How to Answer 4 Common Receptionist Interview Questions - Editorial Assets","38232","VIDEO-25026","How to Answer 4 Common Receptionist Interview Questions","37747","Editorial Assets"
"VIDEO-25025","Questions to Ask (and Not Ask) in a Job Interview","37746","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-25386","Questions to Ask (and Not Ask) in a Job Interview - Editorial Assets","38222","VIDEO-25025","Questions to Ask (and Not Ask) in a Job Interview","37746","Editorial Assets"
"VIDEO-25024","How to Answer 4 Common Accounting Interview Questions","37745","","","","Use for videos to be published.  One video and one thumbnail per ticket."
